name,type,tags,notes,Canon,Wiki?,wiki_url,wiki_title,wiki_description,wiki_image
De Blanc's School for Girls,Other,,,FALSE,FALSE,,,,
Tower of Vane,Other,,,FALSE,FALSE,,,,
Mound of Krell,Other,,,FALSE,FALSE,,,,
Karagril (Silverhorn),Other,,,FALSE,FALSE,,,,
Karag Lhune (Crescent Mountain),Other,,,FALSE,FALSE,,,,
Karag Zilfin (Windswept Mountain),Other,,,FALSE,FALSE,,,,
Karag Yar (Sunset Mountain),Other,,,FALSE,FALSE,,,,
Karag Rhyn (Mount Redstone),Other,,,FALSE,FALSE,,,,
Kvinn-Wyr (White Lady),Other,,,FALSE,FALSE,,,,
Karag Nar (Sunrise Mountain),Other,,,FALSE,FALSE,,,,
Karag Drakkloc (Dragon Peak),Other,,,FALSE,FALSE,,,,
Karag Grim,Other,,,FALSE,FALSE,,,,
Mordheim,Other,source: WFRP2RB,,TRUE,TRUE,,,,
Bugman's Brewery,Other,source: 4eLoSaS,Ruined. Current canon location is now in Karak Norn as per 4eLoSaS,TRUE,TRUE,,,,
Guerac Circle,Other,,,FALSE,FALSE,,,,
Barrows of Cuileux,Other,,,FALSE,FALSE,,,,
Pillar of the Azure Man,Other,"""source:4eAotE1""",,FALSE,FALSE,,,,
Ruins of Kor Immarmor,Other,"""source:4eAotE1""",,FALSE,FALSE,,,,
Landrel's Barrow,Other,,,FALSE,FALSE,,,,
Karag Mhonar (Shadow Mountain),Other,,,FALSE,FALSE,,,,
Chamon Dharek,Other,,,FALSE,FALSE,,,,
The Dark Citadel,Other,,,FALSE,FALSE,,,,
Tomb of Asavar Kul,Other,,,FALSE,FALSE,,,,
Black Peaks Mine,Other,,,FALSE,FALSE,,,,
Rose Ruins,Other,,,FALSE,FALSE,,,,
Zamak Spayenya,Other,,,FALSE,FALSE,,,,
The Bear's Teeth,Other,,,FALSE,FALSE,,,,
The Mammoth Boneyard,Other,,,FALSE,FALSE,,,,
Srebrolyuby Mine,Other,,,FALSE,FALSE,,,,
Siauliai Mine,Other,,,FALSE,FALSE,,,,
The Old Bögenauer,Taverns and Inns,4eEiS,,TRUE,FALSE,,,,
The Festival Rest,Taverns and Inns,4eEiS,,TRUE,FALSE,,,,
The Child and Hammer,Taverns and Inns,4eEiS,,TRUE,FALSE,,,,
The Wynn's Scale,Taverns and Inns,4eEiS,,TRUE,FALSE,,,,
The Nobody Knows,Taverns and Inns,4eEiS,,TRUE,FALSE,,,,
The War Mask,Taverns and Inns,4eEiS,,TRUE,FALSE,,,,
The New Unberogen,Taverns and Inns,4eEiS,,TRUE,FALSE,,,,
The Wagon and Mule,Taverns and Inns,4eEiS,,TRUE,FALSE,,,,
The Imperial Cross,Taverns and Inns,4eEiS,,TRUE,FALSE,,,,
The Auld Hill,Taverns and Inns,4eEiS,,TRUE,FALSE,,,,
The Anvil's Sister,Taverns and Inns,4eEiS,,TRUE,FALSE,,,,
The Old Prince,Taverns and Inns,4eEiS,,TRUE,FALSE,,,,
The Summer Rose,Taverns and Inns,4eEiS,,TRUE,FALSE,,,,
The Pelt and Trunk,Taverns and Inns,4eEiS,,TRUE,FALSE,,,,
The Graf Manfred,Taverns and Inns,4eEiS,,TRUE,FALSE,,,,
The Drake,Taverns and Inns,4eEiS,,TRUE,FALSE,,,,
The Sheep Market,Taverns and Inns,4eEiS,,TRUE,FALSE,,,,
Seven Spokes,Taverns and Inns,4eEiS,,TRUE,FALSE,,,,
The Auld Granger,Taverns and Inns,4eEiS,,TRUE,FALSE,,,,
The Mortician's Basket,Taverns and Inns,4eEiS,,TRUE,FALSE,,,,
The Countless Arms,Taverns and Inns,4eEiS,,TRUE,FALSE,,,,
The Skull and Crown,Taverns and Inns,4eEiS,,TRUE,FALSE,,,,
The Matthais,Taverns and Inns,4eEiS,,TRUE,FALSE,,,,
The Four Horns,Taverns and Inns,4eEiS,,TRUE,FALSE,,,,
The Coach and Horses,Taverns and Inns,4eEiS,,TRUE,FALSE,,,,
The Five Brothers Lodge,Taverns and Inns,,,FALSE,FALSE,,,,
The Swamp Palace,Taverns and Inns,,,FALSE,FALSE,,,,
The Long Tooth,Taverns and Inns,,,FALSE,FALSE,,,,
The Yellow Eye Tavern,Taverns and Inns,,,FALSE,FALSE,,,,
The Horned Father,Taverns and Inns,,,FALSE,FALSE,,,,
The Bell Inn,Taverns and Inns,,,FALSE,FALSE,,,,
The Delb Down,Taverns and Inns,,,FALSE,FALSE,,,,
The Third Brother,Taverns and Inns,,,FALSE,FALSE,,,,
The Four-Eyed Skull,Taverns and Inns,,,FALSE,FALSE,,,,
The Brass Monkey,Taverns and Inns,,,FALSE,FALSE,,,,
The Hog and Doe,Taverns and Inns,,,FALSE,FALSE,,,,
The Burning Heretic,Taverns and Inns,,,FALSE,FALSE,,,,
The Wheelhouse,Taverns and Inns,,,FALSE,FALSE,,,,
The Dangling Thread,Taverns and Inns,,,FALSE,FALSE,,,,
The Mantle and Stoker,Taverns and Inns,,,FALSE,FALSE,,,,
The Third Comet,Taverns and Inns,,,FALSE,FALSE,,,,
The Bear and Cock Pit,Taverns and Inns,,,FALSE,FALSE,,,,
The Tupping Ram,Taverns and Inns,,,FALSE,FALSE,,,,
The Boar and Child,Taverns and Inns,,,FALSE,FALSE,,,,
The Three Doves,Taverns and Inns,,,FALSE,FALSE,,,,
The Luitpold Inn,Taverns and Inns,,,FALSE,FALSE,,,,
Rainwood Inn,Taverns and Inns,,,FALSE,FALSE,,,,
The Crowned Kestrel,Taverns and Inns,,,FALSE,FALSE,,,,
The Ram's Horn,Taverns and Inns,,,FALSE,FALSE,,,,
The Hobbled Orc,Taverns and Inns,,,FALSE,FALSE,,,,
Broken Wheel Inn,Taverns and Inns,,,FALSE,FALSE,,,,
The Wolf's Head,Taverns and Inns,,,FALSE,FALSE,,,,
The Lusty Soldier,Taverns and Inns,,,FALSE,FALSE,,,,
The Stork's Nest,Taverns and Inns,,,FALSE,FALSE,,,,
The Lady in Green,Taverns and Inns,,,FALSE,FALSE,,,,
Naila's Crossing,Taverns and Inns,,,FALSE,FALSE,,,,
The Raging Bull,Taverns and Inns,,,FALSE,FALSE,,,,
The Croaking Frog,Taverns and Inns,,,FALSE,FALSE,,,,
The Forest Sprite,Taverns and Inns,,,FALSE,FALSE,,,,
The Broken Wheel,Taverns and Inns,,,FALSE,FALSE,,,,
The Stork and Fox,Taverns and Inns,,,FALSE,FALSE,,,,
The Cock and Fox,Taverns and Inns,,,FALSE,FALSE,,,,
The Two-Mast Barge,Taverns and Inns,,,FALSE,FALSE,,,,
The Woodsman's Axe,Taverns and Inns,,,FALSE,FALSE,,,,
The Lonely Road,Taverns and Inns,,,FALSE,FALSE,,,,
The Drunken Shepherd,Taverns and Inns,,,FALSE,FALSE,,,,
The Broken Rudder,Taverns and Inns,,,FALSE,FALSE,,,,
The Two Rivers,Taverns and Inns,,,FALSE,FALSE,,,,
The Nymph and the Fisherman,Taverns and Inns,,,FALSE,FALSE,,,,
The Watery Rest,Taverns and Inns,,,FALSE,FALSE,,,,
White Hart Inn,Taverns and Inns,,,FALSE,FALSE,,,,
The Four Horses,Taverns and Inns,,,FALSE,FALSE,,,,
The Wainwright,Taverns and Inns,,,FALSE,FALSE,,,,
The Badger and Wolf,Taverns and Inns,,,FALSE,FALSE,,,,
The Tired Coachman,Taverns and Inns,,,FALSE,FALSE,,,,
The Red Stork,Taverns and Inns,,,FALSE,FALSE,,,,
The Maid and Unicorn,Taverns and Inns,,,FALSE,FALSE,,,,
The Marsh Hare,Taverns and Inns,,,FALSE,FALSE,,,,
The Prancing Doe,Taverns and Inns,,,FALSE,FALSE,,,,
The Hen and Wolf,Taverns and Inns,,,FALSE,FALSE,,,,
The Sword and Plough,Taverns and Inns,,,FALSE,FALSE,,,,
The Boar's Head,Taverns and Inns,,,FALSE,FALSE,,,,
The Red Arrow,Taverns and Inns,,,FALSE,FALSE,,,,
Toad in the Hole,Taverns and Inns,,,FALSE,FALSE,,,,
The Magpie and Crown,Taverns and Inns,,,FALSE,FALSE,,,,
The Three Staves,Taverns and Inns,,,FALSE,FALSE,,,,
The Red Sunrise,Taverns and Inns,,,FALSE,FALSE,,,,
The Third Pfennig,Taverns and Inns,,,FALSE,FALSE,,,,
The Auld House,Taverns and Inns,,,FALSE,FALSE,,,,
The Pilgrim's Rest,Taverns and Inns,,,FALSE,FALSE,,,,
The Hen's Roost,Taverns and Inns,,,FALSE,FALSE,,,,
The Bröckel Arms,Taverns and Inns,,,FALSE,FALSE,,,,
The Quiet Place,Taverns and Inns,,,FALSE,FALSE,,,,
The Count's Own,Taverns and Inns,,,FALSE,FALSE,,,,
Brownhill Inn,Taverns and Inns,,,FALSE,FALSE,,,,
The Count's Arms,Taverns and Inns,,,FALSE,FALSE,,,,
The Grey Mare,Taverns and Inns,,,FALSE,FALSE,,,,
The Wagon's Wheel,Taverns and Inns,,,FALSE,FALSE,,,,
The Friedendorf Feather,Taverns and Inns,,,FALSE,FALSE,,,,
The Orc's Head,Taverns and Inns,,,FALSE,FALSE,,,,
The Meatpie Inn,Taverns and Inns,,,FALSE,FALSE,,,,
The Green Leaf,Taverns and Inns,,,FALSE,FALSE,,,,
The Last Chance,Taverns and Inns,,,FALSE,FALSE,,,,
The Gunner's Aim,Taverns and Inns,,,FALSE,FALSE,,,,
The Longbeard's Pride,Taverns and Inns,,,FALSE,FALSE,,,,
Bugman's Own,Taverns and Inns,,,FALSE,FALSE,,,,
The Golden Grapes,Taverns and Inns,,,FALSE,FALSE,,,,
The Horn's Call,Taverns and Inns,,,FALSE,FALSE,,,,
The Diehl Arms,Taverns and Inns,,,FALSE,FALSE,,,,
The Duellist's Blade,Taverns and Inns,,,FALSE,FALSE,,,,
The Shepherd's Vale,Taverns and Inns,,,FALSE,FALSE,,,,
The Bretonnian Farmer,Taverns and Inns,,,FALSE,FALSE,,,,
The Mad Count,Taverns and Inns,,,FALSE,FALSE,,,,
Between Two Trees,Taverns and Inns,,,FALSE,FALSE,,,,
The Menogothic Crown,Taverns and Inns,,,FALSE,FALSE,,,,
Siggurd's Shield,Taverns and Inns,,,FALSE,FALSE,,,,
The Queen of the River,Taverns and Inns,,,FALSE,FALSE,,,,
The Emperor's Chalice,Taverns and Inns,,,FALSE,FALSE,,,,
The Steps,Taverns and Inns,,,FALSE,FALSE,,,,
The Lower Branch,Taverns and Inns,,,FALSE,FALSE,,,,
The Spoiled Prince,Taverns and Inns,,,FALSE,FALSE,,,,
The Grandfather Tree,Taverns and Inns,,,FALSE,FALSE,,,,
The Count of Krieglitz,Taverns and Inns,,,FALSE,FALSE,,,,
The Doe and Flowers,Taverns and Inns,,,FALSE,FALSE,,,,
The Last Lantern,Taverns and Inns,,,FALSE,FALSE,,,,
The Red Deer,Taverns and Inns,,,FALSE,FALSE,,,,
The Salty Hill,Taverns and Inns,,,FALSE,FALSE,,,,
Ye Auld Styrlande,Taverns and Inns,,,FALSE,FALSE,,,,
The Forest Hearth,Taverns and Inns,,,FALSE,FALSE,,,,
The Half-Way House,Taverns and Inns,,,FALSE,FALSE,,,,
The Bildhofen Arms,Taverns and Inns,,,FALSE,FALSE,,,,
The Robin's Song,Taverns and Inns,,,FALSE,FALSE,,,,
The Hunter's Eye,Taverns and Inns,,,FALSE,FALSE,,,,
The Hawk and Six Feathers,Taverns and Inns,,,FALSE,FALSE,,,,
The Prince of Ostland,Taverns and Inns,,,FALSE,FALSE,,,,
The Wandering Bawd,Taverns and Inns,,,FALSE,FALSE,,,,
The King's Crossing,Taverns and Inns,,,FALSE,FALSE,,,,
The End of Empire,Taverns and Inns,,,FALSE,FALSE,,,,
The Silver Acorn,Taverns and Inns,,,FALSE,FALSE,,,,
The Hooded Man,Taverns and Inns,,,FALSE,FALSE,,,,
The Pelican's Perch,Taverns and Inns,,,FALSE,FALSE,,,,
The Old Salt Barrel,Taverns and Inns,,,FALSE,FALSE,,,,
The Goblin's Nightcap,Taverns and Inns,,,FALSE,FALSE,,,,
The Angry Gnome,Taverns and Inns,,,FALSE,FALSE,,,,
The Huntsmen's Bow,Taverns and Inns,,,FALSE,FALSE,,,,
The Old Salt,Taverns and Inns,,,FALSE,FALSE,,,,
The Boar and Spear,Taverns and Inns,,,FALSE,FALSE,,,,
The Hochnar Arms,Taverns and Inns,,,FALSE,FALSE,,,,
The Pride of Ostland,Taverns and Inns,,,FALSE,FALSE,,,,
Pilgrim's Pause,Taverns and Inns,,,FALSE,FALSE,,,,
The Woolen Noose,Taverns and Inns,,,FALSE,FALSE,,,,
The Missing Sheep,Taverns and Inns,,,FALSE,FALSE,,,,
The Smith and the Anvil,Taverns and Inns,,,FALSE,FALSE,,,,
The Dark Knight,Taverns and Inns,,,FALSE,FALSE,,,,
The Cannonball,Taverns and Inns,,,FALSE,FALSE,,,,
The Blind Fisherman,Taverns and Inns,,,FALSE,FALSE,,,,
The Gentle Hearth,Taverns and Inns,,,FALSE,FALSE,,,,
The Good Goat,Taverns and Inns,,,FALSE,FALSE,,,,
A Halfling Welcome,Taverns and Inns,,,FALSE,FALSE,,,,
The Candied Apple,Taverns and Inns,,,FALSE,FALSE,,,,
The Lucky Dragon,Taverns and Inns,,,FALSE,FALSE,,,,
The Prattling Pony,Taverns and Inns,,,FALSE,FALSE,,,,
The Feathered Pig,Taverns and Inns,,,FALSE,FALSE,,,,
The Broken Blade,Taverns and Inns,,,FALSE,FALSE,,,,
The Granite Chair,Taverns and Inns,,,FALSE,FALSE,,,,
The Hanged Man,Taverns and Inns,,,FALSE,FALSE,,,,
The Forgotten Arms,Taverns and Inns,,,FALSE,FALSE,,,,
The Lost Crown,Taverns and Inns,,,FALSE,FALSE,,,,
The Silver Bullet,Taverns and Inns,,,FALSE,FALSE,,,,
The Three Barrels Full,Taverns and Inns,,,FALSE,FALSE,,,,
The Rusty Halberd,Taverns and Inns,,,FALSE,FALSE,,,,
The Hammer and Crown,Taverns and Inns,,,FALSE,FALSE,,,,
The Old Averlander,Taverns and Inns,,,FALSE,FALSE,,,,
The Wild Horses,Taverns and Inns,,,FALSE,FALSE,,,,
The Iron Nail,Taverns and Inns,,,FALSE,FALSE,,,,
The Slayer's Axe,Taverns and Inns,,,FALSE,FALSE,,,,
The Waterwheel,Taverns and Inns,,,FALSE,FALSE,,,,
The Blind Falcon,Taverns and Inns,,,FALSE,FALSE,,,,
The Black Wagon,Taverns and Inns,,,FALSE,FALSE,,,,
The Drowned Rat,Taverns and Inns,,,FALSE,FALSE,,,,
The Old Drum,Taverns and Inns,,,FALSE,FALSE,,,,
The White Gull,Taverns and Inns,,,FALSE,FALSE,,,,
The Prince's Vintage,Taverns and Inns,,,FALSE,FALSE,,,,
King of the Gap,Taverns and Inns,,,FALSE,FALSE,,,,
Ludwig's Nose,Taverns and Inns,,,FALSE,FALSE,,,,
The Drink o' the Reik,Taverns and Inns,,,FALSE,FALSE,,,,
The Muddy Boots,Taverns and Inns,,,FALSE,FALSE,,,,
The Drake's Folly,Taverns and Inns,,,FALSE,FALSE,,,,
The Maiden's Repose,Taverns and Inns,,,FALSE,FALSE,,,,
The Broken Bridge,Taverns and Inns,,,FALSE,FALSE,,,,
The New Elector,Taverns and Inns,,,FALSE,FALSE,,,,
The Hammer of the Law,Taverns and Inns,,,FALSE,FALSE,,,,
The Low Robin,Taverns and Inns,,,FALSE,FALSE,,,,
A Priestley Place,Taverns and Inns,,,FALSE,FALSE,,,,
The Lone Graeme,Taverns and Inns,,,FALSE,FALSE,,,,
The Sargent-at-Arms,Taverns and Inns,,,FALSE,FALSE,,,,
The Seventh Corner,Taverns and Inns,,,FALSE,FALSE,,,,
The Hogshead,Taverns and Inns,,,FALSE,FALSE,,,,
The Green Freelancer,Taverns and Inns,,,FALSE,FALSE,,,,
The Arrow's Flight,Taverns and Inns,,,FALSE,FALSE,,,,
The Jack's Last,Taverns and Inns,,,FALSE,FALSE,,,,
The Wood's Edge,Taverns and Inns,,,FALSE,FALSE,,,,
The Empty Cup,Taverns and Inns,,,FALSE,FALSE,,,,
The Leather Saddle,Taverns and Inns,,,FALSE,FALSE,,,,
The Lost Anvil,Taverns and Inns,,,FALSE,FALSE,,,,
The Boiled Beastman,Taverns and Inns,,,FALSE,FALSE,,,,
The Count's Cross,Taverns and Inns,,,FALSE,FALSE,,,,
The Copper Cauldron,Taverns and Inns,,,FALSE,FALSE,,,,
The Green Eye,Taverns and Inns,,,FALSE,FALSE,,,,
The Jester's Stage,Taverns and Inns,,,FALSE,FALSE,,,,
The Waning Mannslieb,Taverns and Inns,,,FALSE,FALSE,,,,
The Victory of 2429,Taverns and Inns,,,FALSE,FALSE,,,,
The Republican,Taverns and Inns,,,FALSE,FALSE,,,,
The Long Way Home,Taverns and Inns,,,FALSE,FALSE,,,,
The Promise Kept,Taverns and Inns,,,FALSE,FALSE,,,,
The Wet Dog,Taverns and Inns,,,FALSE,FALSE,,,,
The Lonliest Rock,Taverns and Inns,,,FALSE,FALSE,,,,
The Dozen Swine,Taverns and Inns,,,FALSE,FALSE,,,,
The Soldier's Pike,Taverns and Inns,,,FALSE,FALSE,,,,
The Jealous Bride,Taverns and Inns,,,FALSE,FALSE,,,,
The Blind and Faithful,Taverns and Inns,,,FALSE,FALSE,,,,
The False Emperor,Taverns and Inns,,,FALSE,FALSE,,,,
The Dairymaid's Debt,Taverns and Inns,,,FALSE,FALSE,,,,
The Fallen Branch,Taverns and Inns,,,FALSE,FALSE,,,,
The Stonecarver's Son,Taverns and Inns,,,FALSE,FALSE,,,,
The Half-Empty,Taverns and Inns,,,FALSE,FALSE,,,,
The Bushel of Rye,Taverns and Inns,,,FALSE,FALSE,,,,
The  Standardbearer,Taverns and Inns,,,FALSE,FALSE,,,,
The One-Eyed Ogre,Taverns and Inns,,,FALSE,FALSE,,,,
The Ivory Antlers,Taverns and Inns,,,FALSE,FALSE,,,,
The Count Arnold,Taverns and Inns,,,FALSE,FALSE,,,,
The Crusty Juggler,Taverns and Inns,,,FALSE,FALSE,,,,
Ogrund's Tavern and Coaching Inn,Taverns and Inns,,,FALSE,FALSE,,,,
Pervaya Stantsiya,Taverns and Inns,,,FALSE,FALSE,,,,
Vtoraya Stantsiya,Taverns and Inns,,,FALSE,FALSE,,,,
Tretya Stantsiya,Taverns and Inns,,,FALSE,FALSE,,,,
Chetvyortaya Stantsiya,Taverns and Inns,,,FALSE,FALSE,,,,
Pyataya Stantsiya,Taverns and Inns,,,FALSE,FALSE,,,,
Volchya Stantsiya,Taverns and Inns,,,FALSE,FALSE,,,,
Medvezhya Stantsiya,Taverns and Inns,,,FALSE,FALSE,,,,
Zapadnaya Stantsiya,Taverns and Inns,,,FALSE,FALSE,,,,
The Skull's Reach,Taverns and Inns,,,FALSE,FALSE,,,,
The Northland Piper,Taverns and Inns,,,FALSE,FALSE,,,,
The Second Thought,Taverns and Inns,,,FALSE,FALSE,,,,
The Bitter Moon,Taverns and Inns,,,FALSE,FALSE,,,,
The Friendly Hearth,Taverns and Inns,,,FALSE,FALSE,,,,
The Prince's Head,Taverns and Inns,,,FALSE,FALSE,,,,
The Grey Lady,Taverns and Inns,,,FALSE,FALSE,,,,
The Three Sheets,Taverns and Inns,,,FALSE,FALSE,,,,
The Wolf Prow,Taverns and Inns,,,FALSE,FALSE,,,,
The Brombeerstrauch,Taverns and Inns,,,FALSE,FALSE,,,,
The Dangling Mutant,Taverns and Inns,,,FALSE,FALSE,,,,
The Fox and Crown,Taverns and Inns,,,FALSE,FALSE,,,,
Ulric's Vision,Taverns and Inns,,,FALSE,FALSE,,,,
The Hunter's Lodge,Taverns and Inns,,,FALSE,FALSE,,,,
The Fist of Amber,Taverns and Inns,,,FALSE,FALSE,,,,
The Hemp Merchant,Taverns and Inns,,,FALSE,FALSE,,,,
The Pewter Merchant,Taverns and Inns,,,FALSE,FALSE,,,,
The Royal Wolf,Taverns and Inns,,,FALSE,FALSE,,,,
The Winter Wolf,Taverns and Inns,,,FALSE,FALSE,,,,
The Forest Inn,Taverns and Inns,,,FALSE,FALSE,,,,
All Shadows Fled,Taverns and Inns,,,FALSE,FALSE,,,,
The Hanging Highwayman,Taverns and Inns,,,FALSE,FALSE,,,,
Sigmar's Hammer,Taverns and Inns,,,FALSE,FALSE,,,,
The Welcome Rest,Taverns and Inns,,,FALSE,FALSE,,,,
The Border Line,Taverns and Inns,,,FALSE,FALSE,,,,
The Queen of Cats,Taverns and Inns,,,FALSE,FALSE,,,,
Brandy Home,Taverns and Inns,,,FALSE,FALSE,,,,
The Smoking Head,Taverns and Inns,,,FALSE,FALSE,,,,
The Pig Pen,Taverns and Inns,,,FALSE,FALSE,,,,
The Mad Albert,Taverns and Inns,,,FALSE,FALSE,,,,
The Tobacco Tower,Taverns and Inns,,,FALSE,FALSE,,,,
The Old Grumbler's Road,Taverns and Inns,,,FALSE,FALSE,,,,
The Stone and Steel,Taverns and Inns,,,FALSE,FALSE,,,,
The Rat King,Taverns and Inns,,,FALSE,FALSE,,,,
The King of Albion,Taverns and Inns,,,FALSE,FALSE,,,,
The Pouncing Pegasus,Taverns and Inns,,,FALSE,FALSE,,,,
The Three Feathers,Taverns and Inns,,,FALSE,FALSE,,,,
